	Ductal	Ngn3 low EP	Ngn3 high EP	Pre-endocrine	Beta	Alpha	Delta	Epsilon
0	Notch2	Ptpn3	Pde1c	Pam	Pax6	Zcchc16	Zdbf2	Tmcc3
1	Sox5	Hacd1	Ptprs	Sdk1	Unc5c	Nlgn1	Spock3	Heg1
2	Krt19	Hspa8	Pclo	Baiap3	Nnat	Prune2	Akr1c19	Ica1
3	Hspa8	Gm8113	Rap1gap2	Abcc8	Tmem108	Ksr2	Ptprt	Ncoa7
4	Ano6	Kcnq1	Ttyh2	Gnas	Ptprt	Chrm3	Snap25	Sorcs1
5	Rbms3	Stard10	Grik2	Ptprn2	Ap1s2	Cdh2	Ank2	Srrm3
6	Cdh1	Hnf1aos1	Kcnb2	Asic2	Scg3	Ndst4	Cpm	Mamld1
7	Nr2f6	Trp53cor1	Rbfox3	Sez6l	Kcnmb2	Nfasc	Slc16a12	Zcchc16
8	Igf1r	Pcdh9	Map3k15	Pcsk2	Phyhipl	Unc79	Ap1s2	Unc79
9	Grb10	Grb10	Fam135a	Rimbp2	Tenm3	Pak3	Fam155a	Ank2
10	Lpp	Slc9a9	Adgrb3	Gstz1	Zbtb7c	Pdzrn4	Hdac6	Rcan2
11	Pcdh9	Notch2	Setbp1	Unc13a	Chrm3	Cntnap5b	Fam105a	Sphkap
12	Arid5b	Fgf12	Cacna2d1	Man1c1	Pex5l	Pax6	Map1b	Rapgef4
13	Fgf12	Dcbld1	Gabbr2	Maml3	Pdia5	Nrxn1	Tmcc3	Cacna1c
14	Errfi1	Idh2	Jarid2	Fhl2	Pim2	Auts2	Dpp10	Gng4
15	Hipk2	Ambp	Chd7	Ptger3	Plppr1	Kctd8	Mia3	Kcnip4
16	Sema3c	Ptch1	Eml5	Tspan7	Pax6os1	Pde1a	Abca7	Cacng4
17	Lmna	Vtcn1	Nkx2-2	Ankrd44	Rnf114	Gria3	Slc35b1	Fam155a
18	Dcbld1	Sox5	Rph3al	Filip1	Gnao1	Kcnip4	P2ry1	A1cf
19	Kcnq1	Ano6	Chn2	Glul	Ush1c	Tnr	Rab27a	Gabrb3
20	Bcl11b	Pard3	Dst	Parm1	Arfgap3	Zbtb7c	Ocrl	Slc16a12
21	Tcf7l2	Igf1r	Syt7	Ghr	Unc79	G630016G05Rik	Asic2	Trp53cor1
22	Atf3	Lpp	Fgd6	Gnao1	Acvr1c	Rab3c	Rai2	Slc25a12
23	Hacd1	Shank2	Dner	Cep126	Cpe	Skap1	Kcnh8	Bckdha
24	Cdk6	Dcx	Pik3r3	Dlg4	Thsd4	Ncam1	Gng4	Man1c1
25	Alcam	Rbms3	Cadps	Cryba2	Gnas	Prkca	Stk32a	Auts2
26	Wwc1	Gfpt1	Cnot6l	Thbs3	Foxo1	Slc7a8	Gatsl2	Gm609
27	Tpm1	Smarca2	Insrr	Wipf1	Ppp1r1a	Snap25	Pigk	Ncam1
28	Shank2	Nr2f6	Tox3	March4	Slc24a2	Srrm3	Kif22	Ctnnd2
29	Csrp1	Mpzl1	Serping1	Lrp8	Sdk2	Slc7a14	Eif2s3y	G630016G05Rik
30	Car8	Hipk2	Krt7	Cpe	Celf4	Rab27a	Smarca1	Rab36
31	Actn4	Rap1gap2	Stox1	Tcp11	Fam163a	Rragb	Slc7a14	Immp1l
32	Gm8113	Errfi1	Ppp3ca	Hdgfrp3	Samd5	Gnai1	Abcc8	Dpp6
33	Ccnjl	Tpst2	Gspt1	Chst8	Nrxn1	Celf4	Cplx2	Ctnna3
34	Ccnd2	Mospd1	Rfx6	Plppr2	Scrn1	Akap17b	Abcb9	Golim4
35	Acot7	Plekha1	Eps8	Elmod1	Sobp	Cacng4	Fam163a	Wipf1
36	Drap1	Amotl2	Rfwd3	Basp1	Ank2	Ank	Tnik	Rab27a
37	Plppr1	Rfx3	Trim62	Anxa4	Abcc8	Rgs7	Trp53i11	Sorcs2
38	Stard10	Tssc4	Tpcn1	Nol4	Klhl32	Sgce	Tyms	Tmem184c
39	Akr1cl	Atf3	Tgfbr1	Cacna1a	Mlxipl	Scn9a	Rfx2	Cd164l2
40	Igfbp7	Bcl2	Synpr	Stxbp5l	Sntg1	Nxph1	Hat1	Gstz1
41	Akr1c19	Prom1	Megf11	Ocrl	1700086L19Rik	Fam155a	Stxbp1	Scn3a
42	Amotl2	Bcl11b	Dopey2	Slc35b1	Isl1	Zdhhc14	Ffar4	Tmpo
43	Tcf20	Auts2	Serpini1	Srrm3	Car8	Gm43194	Ptprn	Nudt7
44	Eepd1	Lmna	Sulf2	Dusp16	Rps6ka2	Asphd1	Unc79	Slc7a14
45	Ptpn3	Cers6	Vwa5b2	Pdk3	Smap2	Upb1	Anxa4	Pygl
46	Cers6	Pip4k2a	Dennd2a	Tpm4	P2ry1	Rcan2	Tmem108	Fam174b
47	Meis2	Drap1	Kcnma1	Entpd3	Slc30a8	Fam219a	Pygl	Ap3b2
48	Ypel2	Smim1	Fndc3a	Ece1	Hsp90b1	Ankrd12	Sobp	Nlgn1
49	Smarca2	Krt19	Dach1	Blnk	Ins2	Slc16a10	Pdia5	Syn1
50	Hspg2	Prox1	Atp8b1	Tmem163	Map1b	Man1c1	Dtd1	Camk2b
51	Sparc	Hes1	Igsf21	Gng12	Cdk8	Pax6os1	Car8	St18
52	Krt18	Wnt7b	Scube1	Cfap77	Chic1	Meis2	Mreg	Cxxc4
53	Tssc4	5330417C22Rik	Ssbp3	Dnah9	Gatsl2	Lrch2	Klhl32	Fmn2
54	Smim1	Prodh2	Anks6	Gfra1	Mapt	Stk32a	Rundc1	Pde10a
55	Fosb	Prdm16	Mxi1	Gipr	Prune2	Fam131a	Flrt2	Lgi3
56	Gcnt2	Sema3c	Dnm1	Scg5	Fut8	Kcnk16	Nucks1	Rock1
57	Lgr4	Acadsb	Prex1	Gch1	Fmn2	Elavl4	Ptprz1	Dpp10
58	Nfib	Qsox1	Map4k4	Rab36	Slc31a2	Sphkap	Osbpl2	Prdx4
59	Rai14	Nek6	Pax4	Abcg1	Robo1	Ank2	Pax6os1	Mctp2
60	Stmn1	Tbc1d16	Cdk8	Zfp174	Kctd8	Sorcs1	Rnf114	Fam107b
61	5330417C22Rik	Cnksr3	Sel1l	Chga	Abat	Dpp6	Cacna1c	Ank
62	Ambp	Tcf20	Cbfa2t2	Ddc	Elp4	Gipr	Ptk2b	Syt9
63	Ndc80	Spint1	Khdrbs3	Fam234a	Pdx1	Tmem163	Ica1	Rfx2
64	Itpkb	Lrrn2	Gfra1	Emb	Dnah9	St6galnac5	Vat1l	Ush1c
65	Prc1	Itpkb	Miat	Samd5	Tmem163	Nmt2	Gspt1	Dock11
66	Zfhx3	Ccnjl	Pgm2l1	Casz1	Gng12	Kcnk3	Cdkn1c	Cd200
67	Slc39a10	Cdh11	Kcnh8	Rfx2	Cxxc4	Glb1l2	Msi1	Nfasc
68	Adamts16	Wwc1	Plcxd3	Ptk2b	Fam155a	Abcb9	Sez6l	Gk
69	St3gal4	Mxra7	Lmx1b	Mia3	Syn1	Gk	Abca1	Acyp2
70	Sv2c	Pbld2	Pdk2	Sulf1	Il1r1	Desi1	Rragb	Syt7
71	Col27a1	Ssbp4	Agap3	Cd164l2	Rap1b	Tshz3	Acat1	Pacsin1
72	Dcx	Pacrg	Rai14	Abca7	Drc1	Ttc39b	Elavl4	Pgap1
73	Tbc1d9	Rai14	Btbd11	Tpcn1	Mtmr7	Il1r1	Slc24a2	Cmtm7
74	Prdm16	Igfbp7	Ncs1	Abcb9	Syt9	Mctp2	Klf7	Cpm
75	Ezh2	Spock3	Stxbp1	Cadps	Fam219a	Slc29a4	Chac2	Sgce
76	Ncald	Chac2	Cnksr3	Dpp6	Ero1lb	Fmn2	Gabrb3	Ano6
77	Sh2d4a	Slc39a10	Acly	Cxxc4	Gpc3	Atp2b1	Scrn1	Tspan12
78	Bora	Alcam	Adam23	Gpc4	Tnik	Dlg4	Prkca	Gm43194
79	Mt1	Mt1	Kif19a	Pdia4	Asphd1	Tnik	Baiap3	Unc80
80	Rrm1	Kif19a	Dpysl5	Ap3b2	Galnt18	Dtd1	Ppp1r1a	Zbtb20
81	Afm	Fstl1	Ak8	Tmed8	0610011F06Rik	Ube3c	Chic1	Kcnh8
