spliced	intron	gene_name
ENSMUSG00000102693.2	ENSMUSG00000102693.2-I	4933401J01Rik
ENSMUSG00000064842.3	ENSMUSG00000064842.3-I	Gm26206
ENSMUSG00000102851.2	ENSMUSG00000102851.2-I	Gm18956
ENSMUSG00000089699.2	ENSMUSG00000089699.2-I	Gm1992
ENSMUSG00000103147.2	ENSMUSG00000103147.2-I	Gm7341
ENSMUSG00000102348.2	ENSMUSG00000102348.2-I	Gm10568
ENSMUSG00000102592.2	ENSMUSG00000102592.2-I	Gm38385
ENSMUSG00000104238.2	ENSMUSG00000104238.2-I	Gm37587
ENSMUSG00000102269.2	ENSMUSG00000102269.2-I	Gm7357
ENSMUSG00000118917.1	ENSMUSG00000118917.1-I	AC129937.1
ENSMUSG00000102735.2	ENSMUSG00000102735.2-I	Gm7369
ENSMUSG00000103922.2	ENSMUSG00000103922.2-I	Gm6123
ENSMUSG00000025903.15	ENSMUSG00000025903.15-I	Lypla1
ENSMUSG00000104217.2	ENSMUSG00000104217.2-I	Gm37988
ENSMUSG00000033813.16	ENSMUSG00000033813.16-I	Tcea1
ENSMUSG00000085623.2	ENSMUSG00000085623.2-I	Gm16041
ENSMUSG00000091665.2	ENSMUSG00000091665.2-I	Gm17101
ENSMUSG00000033793.13	ENSMUSG00000033793.13-I	Atp6v1h
ENSMUSG00000104046.2	ENSMUSG00000104046.2-I	Gm37567
ENSMUSG00000102907.2	ENSMUSG00000102907.2-I	Gm38264
ENSMUSG00000025905.15	ENSMUSG00000025905.15-I	Oprk1
ENSMUSG00000025907.15	ENSMUSG00000025907.15-I	Rb1cc1
ENSMUSG00000087247.4	ENSMUSG00000087247.4-I	Alkal1
ENSMUSG00000103355.2	ENSMUSG00000103355.2-I	Gm2147
ENSMUSG00000033740.18	ENSMUSG00000033740.18-I	St18
ENSMUSG00000104385.2	ENSMUSG00000104385.2-I	Gm7449
ENSMUSG00000102135.2	ENSMUSG00000102135.2-I	Gm37108
ENSMUSG00000103282.2	ENSMUSG00000103282.2-I	Gm37275
ENSMUSG00000102534.2	ENSMUSG00000102534.2-I	Gm37225
ENSMUSG00000102213.2	ENSMUSG00000102213.2-I	Gm37489
ENSMUSG00000103629.2	ENSMUSG00000103629.2-I	Gm5694
ENSMUSG00000051285.18	ENSMUSG00000051285.18-I	Pcmtd1
ENSMUSG00000103509.2	ENSMUSG00000103509.2-I	Gm38372
ENSMUSG00000048538.8	ENSMUSG00000048538.8-I	Gm9826
ENSMUSG00000077244.3	ENSMUSG00000077244.3-I	Gm23274
ENSMUSG00000102768.2	ENSMUSG00000102768.2-I	Gm19002
ENSMUSG00000103498.2	ENSMUSG00000103498.2-I	Gm18984
ENSMUSG00000103067.2	ENSMUSG00000103067.2-I	Gm30414
ENSMUSG00000102320.2	ENSMUSG00000102320.2-I	Gm37791
ENSMUSG00000104226.2	ENSMUSG00000104226.2-I	Gm7470
ENSMUSG00000103903.2	ENSMUSG00000103903.2-I	Rps2-ps2
ENSMUSG00000103933.2	ENSMUSG00000103933.2-I	Gm36964
ENSMUSG00000104504.2	ENSMUSG00000104504.2-I	Gm7445
ENSMUSG00000102871.2	ENSMUSG00000102871.2-I	Gm37143
ENSMUSG00000102272.2	ENSMUSG00000102272.2-I	Gm7512
ENSMUSG00000065625.3	ENSMUSG00000065625.3-I	Gm24765
ENSMUSG00000061024.9	ENSMUSG00000061024.9-I	Rrs1
ENSMUSG00000025911.15	ENSMUSG00000025911.15-I	Adhfe1
